animation_id	type	comment
attack_high_center_1_jab_double_light	MELEE	double jab light hit
attack_high_center_1_jab_double_medium	MELEE	double jab medium hit
attack_high_center_light_0	MELEE	attack high center light entry 0
attack_high_center_light_1	MELEE	attack high center light entry 1
attack_high_center_light_2	MELEE	attack high center light entry 2
attack_high_center_light_3	MELEE	attack high center light entry 3
attack_high_center_medium_0	MELEE	attack high center medium entry 0
attack_high_center_medium_1	MELEE	attack high center medium entry 1
attack_high_center_medium_2	MELEE	attack high center medium entry 2
attack_high_center_medium_3	MELEE	attack high center medium entry 3
attack_high_left_light_0	MELEE	attack high left light entry 0
attack_high_left_light_1	MELEE	attack high left light entry 1
attack_high_left_light_2	MELEE	attack high left light entry 2
attack_high_left_light_3	MELEE	attack high left light entry 3
attack_high_left_medium_0	MELEE	attack high left medium entry 0
attack_high_left_medium_1	MELEE	attack high left medium entry 1
attack_high_left_medium_2	MELEE	attack high left medium entry 2
attack_high_left_medium_3	MELEE	attack high left medium entry 3
attack_high_right_0_rear_handhook_light	MELEE	handhook light hit
attack_high_right_0_rear_handhook_medium	MELEE	handhook medium hit
attack_high_right_1_lead_arckick_light	MELEE	arckick light
attack_high_right_1_lead_arckick_medium	MELEE	arckick medium
attack_high_right_2_punch_roundhouse_light	MELEE	roundhouse high right attack light hit
attack_high_right_2_punch_roundhouse_medium	MELEE	roundhouse high right attack medium hit
attack_high_right_2_rear_roundhouse_kick_light	MELEE	roundhouse kick light hit
attack_high_right_2_rear_roundhouse_kick_medium	MELEE	roundhouse kick medium hit
attack_high_right_light_0	MELEE	attack high right light entry 0
attack_high_right_light_1	MELEE	attack high right light entry 1
attack_high_right_light_2	MELEE	attack high right light entry 2
attack_high_right_light_3	MELEE	attack high right light entry 3
attack_high_right_medium_0	MELEE	attack high right medium entry 0
attack_high_right_medium_1	MELEE	attack high right medium entry 1
attack_high_right_medium_2	MELEE	attack high right medium entry 2
attack_high_right_medium_3	MELEE	attack high right medium entry 3
attack_low_center_light_0	MELEE	attack low center light entry 0
attack_low_center_light_1	MELEE	attack low center light entry 1
attack_low_center_light_2	MELEE	attack low center light entry 2
attack_low_center_light_3	MELEE	attack low center light entry 3
attack_low_center_medium_0	MELEE	attack low center medium entry 0
attack_low_center_medium_1	MELEE	attack low center medium entry 1
attack_low_center_medium_2	MELEE	attack low center medium entry 2
attack_low_center_medium_3	MELEE	attack low center medium entry 3
attack_low_left_light_0	MELEE	attack low left light entry 0
attack_low_left_light_1	MELEE	attack low left light entry 1
attack_low_left_light_2	MELEE	attack low left light entry 2
attack_low_left_light_3	MELEE	attack low left light entry 3
attack_low_left_medium_0	MELEE	attack low left medium entry 0
attack_low_left_medium_1	MELEE	attack low left medium entry 1
attack_low_left_medium_2	MELEE	attack low left medium entry 2
attack_low_left_medium_3	MELEE	attack low left medium entry 3
attack_low_right_light_0	MELEE	attack low right light entry 0
attack_low_right_light_1	MELEE	attack low right light entry 1
attack_low_right_light_2	MELEE	attack low right light entry 2
attack_low_right_light_3	MELEE	attack low right light entry 3
attack_low_right_medium_0	MELEE	attack low right medium entry 0
attack_low_right_medium_1	MELEE	attack low right medium entry 1
attack_low_right_medium_2	MELEE	attack low right medium entry 2
attack_low_right_medium_3	MELEE	attack low right medium entry 3
attack_mid_center_light_0	MELEE	attack mid center light entry 0
attack_mid_center_light_1	MELEE	attack mid center light entry 1
attack_mid_center_light_2	MELEE	attack mid center light entry 2
attack_mid_center_light_3	MELEE	attack mid center light entry 3
attack_mid_center_medium_0	MELEE	attack mid center medium entry 0
attack_mid_center_medium_1	MELEE	attack mid center medium entry 1
attack_mid_center_medium_2	MELEE	attack mid center medium entry 2
attack_mid_center_medium_3	MELEE	attack mid center medium entry 3
